table,check,column,failed_records,status
customers,NULL_CHECK,customer_id,0,PASS
customers,NULL_CHECK,name,0,PASS
customers,NULL_CHECK,email,0,PASS
customers,NULL_CHECK,country,0,PASS
customers,NULL_CHECK,data_quality_flag,0,PASS
customers,NULL_CHECK,email_quality_flag,0,PASS
customers,DUPLICATE_CHECK,ALL,0,PASS
transactions,NULL_CHECK,transaction_id,0,PASS
transactions,NULL_CHECK,customer_id,0,PASS
transactions,NULL_CHECK,product_id,0,PASS
transactions,NULL_CHECK,amount,0,PASS
transactions,NULL_CHECK,currency,0,PASS
transactions,NULL_CHECK,status,0,PASS
transactions,NULL_CHECK,transaction_date,0,PASS
transactions,NULL_CHECK,data_quality_flag,0,PASS
transactions,DUPLICATE_CHECK,ALL,0,PASS
transactions,AMOUNT_CHECK,amount,22,FAIL
products,NULL_CHECK,product_id,0,PASS
products,NULL_CHECK,product_name,0,PASS
products,NULL_CHECK,category,0,PASS
products,NULL_CHECK,price,0,PASS
products,NULL_CHECK,data_quality_flag,0,PASS
products,DUPLICATE_CHECK,ALL,0,PASS
products,PRICE_CHECK,price,2,FAIL
